ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Statement,Value,ColumnIndex,Sentiment
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,11,1,6,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,31,1,6,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,15,2,7,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,41,2,7,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,27,2,7,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,35,2,7,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,32,3,8,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,42,3,8,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,5,3,8,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,17,3,8,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,37,3,8,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,19,4,9,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,30,4,9,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,18,4,9,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,1,5,10,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,42,-5,0,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,33,-4,1,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,8,-3,2,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,12,-3,2,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,2,-3,2,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,6,-3,2,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,24,-3,2,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,27,-2,3,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,20,-2,3,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,14,-2,3,Positive
